config_id,val_acc,inference_time
105,0.01,4.591700077
106,0.01,4.593442202
107,0.01,4.588904381
108,0.01,4.587486744
109,0.01,4.59781909
110,0.01,4.599251747
111,0.01,4.590284109
112,0.01,4.590844631
113,0.016666667,4.603262424
114,0.016666667,4.596067667
115,0.016666667,4.593271971
116,0.016666667,4.60710454
117,0.016666667,4.60719943
118,0.016666667,4.598630667
119,0.016666667,4.600478411
120,0.016666667,4.599410057
121,0.016666667,4.615901709
122,0.016666667,4.597898006
123,0.016666667,4.593111753
124,0.016666667,4.597266674
125,0.016666667,4.602186441
126,0.016666667,4.58583951
127,0.016666667,4.608436823
128,0.016666667,4.599884033
129,0.016666667,1.245321274
130,0.016666667,1.245964527
131,0.016666667,1.247430086
132,0.016666667,1.251146317
133,0.016666667,1.242863417
134,0.016666667,1.241443872
135,0.016666667,1.246316671
136,0.016666667,1.255792856
137,0.016666667,1.238699675
138,0.016666667,1.246349812
139,0.016666667,1.244127512
140,0.016666667,1.248363733
141,0.016666667,1.241435528
142,0.016666667,1.243835926
143,0.016666667,1.245711088
144,0.016666667,1.249083757
145,0.016666667,1.243432522
146,0.016666667,1.251226187
147,0.016666667,1.248445749
148,0.016666667,1.243112803
149,0.016666667,1.246666908
150,0.016666667,1.246217728
151,0.016666667,1.247971058
152,0.016666667,1.247269154
153,0.016666667,1.241279364
154,0.016666667,1.24519968
155,0.016666667,1.249503851
156,0.016666667,1.240997314
157,0.016666667,1.247986794
158,0.016666667,1.246237993
159,0.016666667,1.248123169
160,0.016666667,1.241104364
161,0.01,1.410374641
162,0.01,1.412435293
163,0.01,1.409521818
164,0.01,1.417936563
165,0.01,1.407711029
166,0.01,1.404587746
167,0.01,1.407318592
168,0.01,1.410996199
169,0.01,1.408666849
170,0.01,1.409252167
171,0.01,1.414088011
172,0.01,1.409687281
173,0.01,1.409454823
174,0.01,1.413383722
175,0.01,1.410037994
176,0.01,1.416586399
177,0.016666667,1.414031506
178,0.016666667,1.405710459
179,0.016666667,1.410151243
180,0.016666667,1.405565262
181,0.016666667,1.404830933
182,0.016666667,1.407138348
183,0.016666667,1.409966707
184,0.016666667,1.410234928
185,0.016666667,1.412366867
186,0.016666667,1.410358429
187,0.016666667,1.409584522
188,0.016666667,1.416148424
189,0.016666667,1.415004969
190,0.016666667,1.414231777
191,0.016666667,1.411543608
192,0.016666667,1.41361475
193,0.025,3.647266865
194,0.025,3.641320705
195,0.025,3.644862175
196,0.025,3.644764662
197,0.025,3.640003681
198,0.025,3.646770477
199,0.025,3.655927896
200,0.025,3.65016222
201,0.025,3.647947073
202,0.025,3.652638674
203,0.025,3.636299133
204,0.025,3.652211428
205,0.025,3.644762278
206,0.025,3.643630981
207,0.025,3.648202419
208,0.025,3.640655279
209,0.016666667,3.65132165
210,0.016666667,3.648345232
211,0.016666667,3.647426367
212,0.016666667,3.638874769
213,0.016666667,3.642452002
214,0.016666667,3.645396471
215,0.016666667,3.640996933
216,0.016666667,3.639915705
217,0.016666667,3.643139362
218,0.016666667,3.653597593
219,0.016666667,3.65114522
220,0.016666667,3.64848423
221,0.016666667,3.655028582
222,0.016666667,3.638088703
223,0.016666667,3.652983427
224,0.016666667,3.648061752
225,0.021666667,4.831236124
226,0.021666667,4.824093819
227,0.021666667,4.816547871
228,0.021666667,4.818820715
229,0.021666667,4.82956171
230,0.021666667,4.827777863
231,0.021666667,4.812678576
232,0.021666667,4.8218081
233,0.021666667,4.826756001
234,0.021666667,4.821738243
235,0.021666667,4.830266237
236,0.021666667,4.828826666
237,0.021666667,4.825733423
238,0.021666667,4.824608088
239,0.021666667,4.819568872
240,0.021666667,4.818544149
241,0.016666667,4.814571381
242,0.016666667,4.817136049
243,0.016666667,4.815318584
244,0.016666667,4.823046923
245,0.016666667,4.828317881
246,0.016666667,4.81547451
247,0.016666667,4.83135438
248,0.016666667,4.80775857
249,0.016666667,4.817099094
250,0.016666667,4.817820787
251,0.016666667,4.818253517
252,0.016666667,4.807485342
253,0.016666667,4.832439184
254,0.016666667,4.815924406
255,0.016666667,4.828992128
256,0.016666667,4.807970762
257,0.016666667,3.735350609
258,0.016666667,3.740566254
259,0.016666667,3.73512125
260,0.016666667,3.742538929
261,0.016666667,3.749586344
262,0.016666667,3.732997656
263,0.016666667,3.735260963
264,0.016666667,3.740194559
265,0.016666667,3.742452621
266,0.016666667,3.738369942
267,0.016666667,3.745136023
268,0.016666667,3.739253521
269,0.016666667,3.751874924
270,0.016666667,3.752617598
271,0.016666667,3.745225668
272,0.016666667,3.728443146
273,0.016666667,3.733491182
274,0.016666667,3.743149519
275,0.016666667,3.749139071
276,0.016666667,3.755999088
277,0.016666667,3.74384284
278,0.016666667,3.731346607
279,0.016666667,3.743174076
280,0.016666667,3.727251768
281,0.016666667,3.736976385
282,0.016666667,3.743187428
283,0.016666667,3.753298044
284,0.016666667,3.738955021
